Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"CAN0_SPI_IN","OffPage","05 - Gb ENET","5","SCHEMATIC1","R22.1,R25.1,TP7.1","844","307","3D","[5,7]"
"CAN0_SPI_IN","OffPage","05 - Gb ENET","5","SCHEMATIC1","R22.1,R25.1,TP7.1","848","259","3D","[5,7]"
"CAN0_SPI_IN","OffPage","07 - CAN PHY","7","SCHEMATIC1","U7.11","505","270","4D","[5]"
"GPIO[6]","OffPage","05 - Gb ENET","5","SCHEMATIC1","TP4.1,U5B.H17","699","235","4D","[5,7]"
"GPIO[6]","OffPage","05 - Gb ENET","5","SCHEMATIC1","TP4.1,U5B.H17","1369","150","2D","[5,7]"
"CAN0_SPI_CLK","OffPage","05 - Gb ENET","5","SCHEMATIC1","TP4.1,U5B.H17","848","235","3D","[7]"
"CAN0_SPI_CLK","OffPage","07 - CAN PHY","7","SCHEMATIC1","U7.8","486","330","4D","[5]"
"ETIMER2_ETC0","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","J1.52","1330","420","2C","[5]"
"ETIMER2_ETC0","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.K17","1370","380","2C","[6]"
"GPIO[124]","OffPage","05 - Gb ENET","5","SCHEMATIC1","TP6.1,U5B.D13","696","350","4D","[5,7]"
"GPIO[124]","OffPage","05 - Gb ENET","5","SCHEMATIC1","TP6.1,U5B.D13","1370","220","2D","[5,7]"
"CAN0_SPI_CIP","OffPage","05 - Gb ENET","5","SCHEMATIC1","TP6.1,U5B.D13","843","350","3D","[7]"
"CAN0_SPI_CIP","OffPage","07 - CAN PHY","7","SCHEMATIC1","U7.14","560","135","4D","[5]"
"GPIO[7]","OffPage","05 - Gb ENET","5","SCHEMATIC1","R22.2,R23.2,U5B.A15","698","259","4D","[5]"
"GPIO[7]","OffPage","05 - Gb ENET","5","SCHEMATIC1","R22.2,R23.2,U5B.A15","1369","160","2D","[5]"
"GPIO[8]","OffPage","05 - Gb ENET","5","SCHEMATIC1","R25.2,R26.2,U5B.D15","687","307","4D","[5]"
"GPIO[8]","OffPage","05 - Gb ENET","5","SCHEMATIC1","R25.2,R26.2,U5B.D15","1370","170","2D","[5]"
"GPIO[42]","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.D14","1370","180","2D","[7]"
"GPIO[42]","OffPage","07 - CAN PHY","7","SCHEMATIC1","DS4.1","1009","56","3D","[5]"
"GPIO[128]","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.D12","1370","200","2D","[7]"
"GPIO[128]","OffPage","07 - CAN PHY","7","SCHEMATIC1","DS7.1","1083","220","3D","[5]"
"TEMP","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","U5A.U2","367","270","5D","[5]"
"TEMP","OffPage","05 - Gb ENET","5","SCHEMATIC1","C133.1,R21.2,R24.1","450","271","4D","[6]"
"GPIO[123]","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.C14","1370","210","2D","Property Not Present"
