Drill Listing
=============
Drill: .00591  Tool: 1  Feed: 0  Speed: 0
X 1548974  Y 1539130
X 1551425  Y 1541226
X 1551320  Y 1543920
X 1539806  Y 1544311
X 1549733  Y 1544683
X 1544620  Y 1548067
X 1547009  Y 1549072
X 1543693  Y 1549365
X 1545573  Y 1550988
X 1548489  Y 1551226
X 1548043  Y 1552890
X 1549377  Y 1556184
X 1550900  Y 1556622
X 1548325  Y 1557494
X 1548354  Y 1559262
X 1533510  Y 1567905
X 1539174  Y 1568849
X 1538811  Y 1571717
X 1532820  Y 1573025
X 1527546  Y 1574229
X 1527989  Y 1576556
X 1536882  Y 1577137
X 1542792  Y 1577915
X 1549249  Y 1578519
X 1536602  Y 1578689
X 1542197  Y 1579736
X 1550347  Y 1579816
X 1536940  Y 1580228
X 1527294  Y 1580916
X 1528918  Y 1580921
X 1526631  Y 1584682
X 1526645  Y 1588087
X 1545531  Y 1590521
X 1543476  Y 1590552
X 1545593  Y 1592887
X 1543569  Y 1592887
X 1526887  Y 1593593
X 1543574  Y 1595103
X 1545687  Y 1595160
X 1528379  Y 1595426
X 1536139  Y 1601438
X 1534674  Y 1603790
X 1527755  Y 1609745
X 1542820  Y 1612244
X 1539084  Y 1612409
X 1551483  Y 1613831
X 1548772  Y 1615253
X 1541611  Y 1616970
X 1545065  Y 1617169
X 1550893  Y 1619344
X 1548996  Y 1620980
X 1545105  Y 1621060
X 1541294  Y 1621099
X 1573440  Y 1622111
X 1560014  Y 1621856
X 1570462  Y 1621668
X 1555098  Y 1620873
X 1563729  Y 1620873
X 1552054  Y 1620356
X 1567524  Y 1620300
X 1552409  Y 1617237
X 1559451  Y 1612608
X 1564709  Y 1609665
X 1565291  Y 1607815
X 1565030  Y 1605955
X 1556465  Y 1604352
X 1565353  Y 1604323
X 1559171  Y 1603749
X 1559571  Y 1599034
X 1559204  Y 1596720
X 1566160  Y 1595581
X 1559219  Y 1595021
X 1563614  Y 1593866
X 1565912  Y 1593848
X 1559206  Y 1593300
X 1574902  Y 1590778
X 1559252  Y 1589438
X 1574929  Y 1586941
X 1553845  Y 1586827
X 1553859  Y 1585241
X 1559662  Y 1582798
X 1558063  Y 1580777
X 1559583  Y 1579845
X 1556630  Y 1579614
X 1570205  Y 1578040
X 1562285  Y 1577537
X 1556577  Y 1577509
X 1555290  Y 1576568
X 1557916  Y 1576235
X 1566355  Y 1575115
X 1563018  Y 1571740
X 1569811  Y 1571325
X 1559867  Y 1570852
X 1558064  Y 1569908
X 1563409  Y 1569905
X 1557375  Y 1568456
X 1562641  Y 1568068
X 1569936  Y 1567385
X 1556055  Y 1567105
X 1571707  Y 1567053
X 1565999  Y 1567010
X 1558233  Y 1566866
X 1563017  Y 1566180
X 1571644  Y 1563704
X 1563448  Y 1563425
X 1569978  Y 1562506
X 1556015  Y 1559817
X 1572823  Y 1558352
X 1552178  Y 1555673
X 1575333  Y 1551888
X 1560145  Y 1549451
X 1573039  Y 1549368
X 1575654  Y 1549251
X 1562902  Y 1549231
X 1560061  Y 1546851
X 1572082  Y 1546800
X 1575560  Y 1546705
X 1570319  Y 1544308
X 1575531  Y 1544219
X 1560133  Y 1544211
X 1562936  Y 1544158
X 1573148  Y 1544146
X 1562776  Y 1541874
X 1554044  Y 1541868
X 1570537  Y 1541749
X 1560317  Y 1541745
X 1575558  Y 1541691
X 1573059  Y 1541548
X 1567881  Y 1540352
X 1572886  Y 1539186
X 1575530  Y 1539106
X 1562565  Y 1539105
X 1570664  Y 1539087
X 1553890  Y 1537887
X 1563116  Y 1536905
X 1564976  Y 1536236
X 1575801  Y 1533970
X 1573889  Y 1533419
X 1572121  Y 1533367
X 1570167  Y 1533362
X 1567947  Y 1532568
X 1551841  Y 1532459
X 1563194  Y 1531818
X 1554305  Y 1530973
X 1589988  Y 1533372
X 1588036  Y 1535372
X 1591250  Y 1536787
X 1579218  Y 1539464
X 1577892  Y 1541659
X 1580518  Y 1544394
X 1601393  Y 1544681
X 1582148  Y 1544853
X 1589117  Y 1545207
X 1579376  Y 1549096
X 1586597  Y 1569940
X 1590922  Y 1570339
X 1590756  Y 1588669
X 1582549  Y 1593193
X 1596379  Y 1593749
X 1581234  Y 1596332
X 1584427  Y 1596439
X 1587379  Y 1597191
X 1588989  Y 1597378
X 1590947  Y 1598666
X 1591564  Y 1600330
X 1593803  Y 1617885
X 1593964  Y 1621548
X 1590463  Y 1622031
X 1596379  Y 1622111
X 1620501  Y 1618147
X 1604273  Y 1561657
X 1614471  Y 1551043
X 1613233  Y 1547848
X 1602871  Y 1547821
X 1602883  Y 1546291
X 1606071  Y 1544686
X 1604543  Y 1544655
X 1602910  Y 1544655
X 1608189  Y 1528708

Drill: .00787  Tool: 2  Feed: 0  Speed: 0
X 1548877  Y 1531274
X 1548838  Y 1533159
X 1547124  Y 1533689
X 1548781  Y 1535070
X 1540370  Y 1549815
X 1538980  Y 1551278
X 1539015  Y 1554641
X 1541408  Y 1554687
X 1551329  Y 1564426
X 1551267  Y 1566486
X 1539835  Y 1579039
X 1537242  Y 1582756
X 1541684  Y 1595166
X 1550049  Y 1599595
X 1543864  Y 1604225
X 1540212  Y 1604589
X 1545028  Y 1610161
X 1566328  Y 1616627
X 1568276  Y 1616627
X 1566328  Y 1614816
X 1568266  Y 1614816
X 1560217  Y 1610095
X 1556510  Y 1600893
X 1568655  Y 1599759
X 1568720  Y 1597910
X 1574717  Y 1597808
X 1568720  Y 1595919
X 1574697  Y 1595909
X 1571397  Y 1586635
X 1571359  Y 1582682
X 1571284  Y 1575562
X 1556207  Y 1570302
X 1575216  Y 1554119
X 1600458  Y 1551659
X 1598711  Y 1552225
X 1594816  Y 1556828
X 1596763  Y 1556899
X 1585331  Y 1559081
X 1580597  Y 1559099
X 1582780  Y 1562913
X 1579735  Y 1563264
X 1599855  Y 1565729
X 1586977  Y 1566829
X 1582385  Y 1566930
X 1579927  Y 1567179
X 1599847  Y 1567571
X 1597707  Y 1568110
X 1599064  Y 1569327
X 1592794  Y 1569556
X 1597569  Y 1570143
X 1579841  Y 1570912
X 1582954  Y 1570963
X 1592804  Y 1571352
X 1593882  Y 1573594
X 1596055  Y 1573775
X 1590363  Y 1574769
X 1586563  Y 1574872
X 1582638  Y 1574944
X 1579683  Y 1578651
X 1601427  Y 1579291
X 1583543  Y 1582266
X 1579379  Y 1582803
X 1590416  Y 1583048
X 1599868  Y 1584323
X 1589671  Y 1586279
X 1578921  Y 1586566
X 1586639  Y 1586720
X 1582669  Y 1587919
X 1595483  Y 1589066
X 1578764  Y 1590536
X 1597921  Y 1591479
X 1600701  Y 1596299
X 1598668  Y 1597336
X 1600748  Y 1598103
X 1598831  Y 1599254
X 1597020  Y 1599786
X 1603046  Y 1621069
X 1617228  Y 1620131
X 1614767  Y 1619984
X 1613033  Y 1619969
X 1603071  Y 1619115
X 1603084  Y 1617147
X 1618585  Y 1615779
X 1618665  Y 1610523
X 1620568  Y 1610419
X 1620583  Y 1608699
X 1618665  Y 1608687
X 1620583  Y 1606822
X 1618665  Y 1606795
X 1622378  Y 1600198
X 1620663  Y 1600172
X 1618943  Y 1600147
X 1622393  Y 1598385
X 1620642  Y 1598354
X 1618932  Y 1598352
X 1622469  Y 1596454
X 1618874  Y 1596444
X 1620672  Y 1596434
X 1602546  Y 1596217
X 1605039  Y 1594628
X 1614159  Y 1590499
X 1619040  Y 1589718
X 1621937  Y 1588484
X 1620185  Y 1588426
X 1620212  Y 1586721
X 1621937  Y 1586721
X 1609738  Y 1586560
X 1607662  Y 1586545
X 1609798  Y 1584580
X 1607639  Y 1584550
X 1605483  Y 1582384
X 1607650  Y 1582366
X 1607632  Y 1580254
X 1605354  Y 1580180
X 1605409  Y 1578032
X 1607595  Y 1578032
X 1617117  Y 1576918
X 1613210  Y 1575289
X 1614991  Y 1575253
X 1616791  Y 1575253
X 1610377  Y 1569898
X 1606778  Y 1569551
X 1602680  Y 1568818
X 1609595  Y 1568231
X 1611356  Y 1568198
X 1605107  Y 1567804
X 1607117  Y 1567758
X 1620197  Y 1565022
X 1622018  Y 1564986
X 1617759  Y 1564839
X 1611509  Y 1564668
X 1613331  Y 1564655
X 1609645  Y 1564648
X 1620197  Y 1563101
X 1622102  Y 1563094
X 1620197  Y 1561214
X 1622093  Y 1561100
X 1609630  Y 1558851
X 1611604  Y 1558825
X 1602053  Y 1552243
X 1615354  Y 1543696
X 1617355  Y 1543646
X 1611489  Y 1543622
X 1613215  Y 1543610
X 1603114  Y 1541877
X 1617451  Y 1541858
X 1615404  Y 1541833
X 1603154  Y 1539936
X 1604500  Y 1538113
X 1606527  Y 1538082
X 1602515  Y 1538041

Drill: .08661  Tool: 3  Feed: 74  Speed: 550
X 1532997  Y 1532827
X 1532997  Y 1616411
X 1616988  Y 1532827

End of Listing
